Jumlah Bulan Laporan,10,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,2025,,,,,,,,,,,,,,,,,,,
,PROVINSI SUMATERA SELATAN,,,,,,,,,,,,,,,,,,,
,KAB. BANYUASIN,KAB. EMPAT LAWANG,KAB. LAHAT,KAB. MUARA ENIM,KAB. MUSI BANYUASIN,KAB. MUSI RAWAS,KAB. MUSI RAWAS UTARA,KAB. OGAN ILIR,KAB. OGAN KOMERING ILIR,KAB. OGAN KOMERING ULU,KAB. OGAN KOMERING ULU SELATAN,KAB. OGAN KOMERING ULU TIMUR,KAB. PENUKAL ABAB LEMATANG ILIR,KOTA LUBUK LINGGAU,KOTA PAGAR ALAM,KOTA PALEMBANG,KOTA PRABUMULIH,All,,
PENELITIAN DAN PENGEMBANGAN ILMU PENGETAHUAN SOSIAL DAN HUMANIORA,,,,,,,,,,,,,,,,,,,,
PENGADAAN DAN DISTRIBUSI GAS ALAM DAN BUATAN,,,1289803207,314179270,1448676612,,,,7953243718,506435310,,,,6625273724,309845159,9036600340,259776902,27743834242,,
"PENGADAAN LISTRIK, GAS, UAP/AIR PANAS DAN UDARA DINGIN",,,,,,,,,,,,,,,,,,,,
"PENGADAAN UAP/AIR PANAS, UDARA DINGIN DAN PRODUKSI ES",,,,,,,,,,,,,,,,,,,,
PENGANGKUTAN DAN PERGUDANGAN,,,,,,,,,,,,,,,,,,,,
PENGELOLAAN AIR,,,243023640,250535257,709807395,,,,1097482651,794839057,668621875,,479119301,39184744,,160876636800,132449380,165291700100,,
PENGELOLAAN AIR LIMBAH,178795895,107255596,,,,,,,,,,,,16240405,,154058046,,456349942,,
"PENGELOLAAN AIR, PENGELOLAAN AIR LIMBAH, PENGELOLAAN DAN DAUR ULANG SAMPAH, DAN AKTIVITAS REMEDIASI",,,,,,,,,,,,,,,,,,,,
PENGELOLAAN DAN DAUR ULANG SAMPAH,,,104055507,,,,,,,,,161320690,,,,845352466,,1110728663,,
"PENGGALIAN BATU, PASIR DAN TANAH LIAT",,,5524175696,606571406,1606601780,,49461674,,2228362528,9570183703,,29564826,,3962679234,135822952,67623096387,920082888,92256603074,,
PENGUSAHAAN HASIL HUTAN BUKAN KAYU,,,,23105442,45062867,,,,,69729660,,,,,,92872405,,230770374,,
PENGUSAHAAN HUTAN ALAM,,,,,,,,,,,,,,2138720,,60405911,,62544631,,
PENGUSAHAAN HUTAN TANAMAN,,,,,,,,,,4845370,,,,,29375734,2601897583,51780158,2687898845,,
PENGUSAHAAN PEMBIBITAN TANAMAN KEHUTANAN,,,,,,,,,,,,,,,,,,,,
PENGUSAHAAN TENAGA PANAS BUMI,,,,,,,,,,,,,,,,,,,,
PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,,,,,,,,,,,,,,,,,,,,
PENYEDIAAN AKOMODASI LAINNYA,194116464,148206610,6401225079,15920029127,4698484240,316261144,,293857886,5133894429,12998538550,177040313,,100000000,2009388678,4752383521,474731250630,6060208414,533934885085,,
