Provinsi,Kab/Kota,Tahun,Bulan,Jenis Bank,Skema,Aset,Kredit ,DPK,NPL
Sumatera Selatan,Kab. Lahat,2023,Maret,Bank Umum,Konvensional,2323.581566512,1936.356858591,2164.36390534,41.982784204
Sumatera Selatan,Kab. Lematang Ilir Ogan Tengah (Muara Enim),2023,Maret,Bank Umum,Konvensional,10207.74450773,2717.476684726,9787.731156619,94.70405701
Sumatera Selatan,Kab. Musi Banyuasin,2023,Maret,Bank Umum,Konvensional,3186.520213851,3137.306165624,2854.092971818,72.536523077
Sumatera Selatan,Kab. Musi Rawas,2023,Maret,Bank Umum,Konvensional,483.604765057,468.588210642,464.154298007,7.382362601
Sumatera Selatan,Kab. Musi Rawas Utara,2023,Maret,Bank Umum,Konvensional,338.146943389,275.578041911,331.992958238,9.241843238
Sumatera Selatan,Kab. Ogan Ilir,2023,Maret,Bank Umum,Konvensional,798.773089741,672.813056905,781.873014319,3.355035522
Sumatera Selatan,Kab. Ogan Komering Ilir,2023,Maret,Bank Umum,Konvensional,4127.95336114,4161.070341453,2929.450570375,89.548512808
Sumatera Selatan,Kab. Ogan Komering Ulu,2023,Maret,Bank Umum,Konvensional,3997.023557789,3927.068447638,2990.546441286,104.368040776
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2023,Maret,Bank Umum,Konvensional,773.152206923,741.738596037,417.770972841,11.79969971
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,2023,Maret,Bank Umum,Konvensional,1010.499557409,947.923788032,600.738586603,16.252156003
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,2023,Maret,Bank Umum,Konvensional,637.358815692,309.750869605,627.55233087,8.199005161
Sumatera Selatan,Kota Lubuklinggau,2023,Maret,Bank Umum,Konvensional,3905.302357675,3860.522615975,3120.947257169,46.501877419
Sumatera Selatan,Kota Pagar Alam,2023,Maret,Bank Umum,Konvensional,1656.574495713,1640.109333055,909.600694836,35.405790569
Sumatera Selatan,Kota Palembang,2023,Maret,Bank Umum,Konvensional,68068.30057455,54418.471658617,60773.417066895,2009.677387585
Sumatera Selatan,Kota Prabumulih,2023,Maret,Bank Umum,Konvensional,4389.755008448,3547.698621615,4251.562230959,94.769411473
Sumatera Selatan,All Sumatera Selatan,2023,Maret,Bank Umum,Konvensional,103027.730350088,84382.347305734,93983.092304493,2711.150678598
Sumatera Selatan,Kab. Banyuasin,2023,April,Bank Umum,Konvensional,1035.940131372,1025.606754647,819.550438628,66.106715201
Sumatera Selatan,Kab. Empat Lawang,2023,April,Bank Umum,Konvensional,642.698891332,592.538640705,243.324885364,0.768301348
Sumatera Selatan,Kab. Lahat,2023,April,Bank Umum,Konvensional,2702.928394785,1928.926324325,2532.330826776,39.342533836
Sumatera Selatan,Kab. Lematang Ilir Ogan Tengah (Muara Enim),2023,April,Bank Umum,Konvensional,10032.428588042,2715.825653724,9844.849859306,96.749269428
Sumatera Selatan,Kab. Musi Banyuasin,2023,April,Bank Umum,Konvensional,3200.890155604,3133.636553396,3090.574440361,61.275492632
Sumatera Selatan,Kab. Musi Rawas,2023,April,Bank Umum,Konvensional,526.619146827,470.139363408,516.850333858,7.631490928
Sumatera Selatan,Kab. Musi Rawas Utara,2023,April,Bank Umum,Konvensional,392.552330528,276.682592742,384.273327336,9.364157893
Sumatera Selatan,Kab. Ogan Ilir,2023,April,Bank Umum,Konvensional,817.036312125,672.094233411,796.838758002,3.683167625
Sumatera Selatan,Kab. Ogan Komering Ilir,2023,April,Bank Umum,Konvensional,4162.644958561,4187.708529913,2947.312092663,98.991331996
Sumatera Selatan,Kab. Ogan Komering Ulu,2023,April,Bank Umum,Konvensional,4033.611530125,3931.005479039,3054.711858607,112.499847756
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2023,April,Bank Umum,Konvensional,775.407848418,730.985845278,412.739757685,13.656809737
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,2023,April,Bank Umum,Konvensional,1002.525500484,958.421174979,580.532453599,17.1742796
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,2023,April,Bank Umum,Konvensional,602.057670645,309.824961665,589.396766352,8.346538099
Sumatera Selatan,Kota Lubuklinggau,2023,April,Bank Umum,Konvensional,3954.741965973,3885.596901261,3169.753878504,54.820302715
Sumatera Selatan,Kota Pagar Alam,2023,April,Bank Umum,Konvensional,1673.184650494,1643.09991666,1000.656867047,44.525782507
Sumatera Selatan,Kota Palembang,2023,April,Bank Umum,Konvensional,68446.8381007,55201.827272141,61778.355612485,2087.509006328
Sumatera Selatan,Kota Prabumulih,2023,April,Bank Umum,Konvensional,4597.708283959,3539.234955794,4445.758685903,83.627106937
Sumatera Selatan,All Sumatera Selatan,2023,April,Bank Umum,Konvensional,104500.735531481,85203.155153088,96207.810842476,2806.072134566
