Provinsi,Tahun,Bulan,Jenis Kredit/Pembiayaan,"Nominal Kredit 
(Rp Miliar)","Nominal NPL 
(Rp Miliar)",Nominal NPL Net (Rp Miliar),Jumlah Rekening UMKM
Bengkulu,2024,Januari,UMKM,13177.120497097,399.090693878,151.038469791,206092
Sumatera Selatan,2024,Februari,UMKM,38416.859060781,1571.12123564,617.154797169,656227
KEPULAUAN BANGKA BELITUNG,2024,Februari,UMKM,6783.688810335,267.033419189,138.209489746,87922
Lampung,2024,Februari,UMKM,31390.712140828,1374.070458303,633.039557022,605556
Jambi,2024,Februari,UMKM,24315.584346524,726.406431618,364.758602756,279840
Bengkulu,2024,Februari,UMKM,13217.921609234,400.217203964,169.468615966,205182
Sumatera Selatan,2024,Maret,UMKM,38732.929531283,1586.180312828,627.962328366,657511
KEPULAUAN BANGKA BELITUNG,2024,Maret,UMKM,6822.018814566,262.685153729,111.306702021,88636
Lampung,2024,Maret,UMKM,31648.619539594,1344.586672159,632.097168527,604277
Jambi,2024,Maret,UMKM,24753.833907806,707.238170606,347.360578244,280954
Bengkulu,2024,Maret,UMKM,13339.573948431,361.969038718,151.729656968,204189
Sumatera Selatan,2024,April,UMKM,38746.600980673,1666.68726291,662.633256905,654010
KEPULAUAN BANGKA BELITUNG,2024,April,UMKM,6881.240054488,277.368898306,118.519450941,89071
Lampung,2024,April,UMKM,32337.739599793,1387.095693782,674.296589549,597411
Jambi,2024,April,UMKM,24600.21987428,737.123956117,366.590557645,281370
Bengkulu,2024,April,UMKM,13276.952134402,399.369824965,172.014264991,202622
Sumatera Selatan,2024,Mei,UMKM,38963.432913409,1678.406133442,629.467829252,654821
KEPULAUAN BANGKA BELITUNG,2024,Mei,UMKM,6902.011100641,273.143874431,108.480475805,89736
Lampung,2024,Mei,UMKM,32506.091956933,1379.668826549,642.171711323,592029
Jambi,2024,Mei,UMKM,24836.509455188,740.689157131,340.690182996,282023
Bengkulu,2024,Mei,UMKM,13358.860553327,381.851533339,158.828022471,202341
Sumatera Selatan,2024,Juni,UMKM,39007.972783492,1624.120208942,608.328415041,655067
KEPULAUAN BANGKA BELITUNG,2024,Juni,UMKM,6913.957160087,259.141098156,106.774977342,90198
Lampung,2024,Juni,UMKM,32771.151253418,1335.703750676,624.249148003,584921
Jambi,2024,Juni,UMKM,25021.803120277,724.314395313,333.123953279,283103
Bengkulu,2024,Juni,UMKM,13393.194273552,368.421962592,150.783172168,201046
Sumatera Selatan,2024,Juli,UMKM,39211.53297189,1623.432494583,613.999207116,654062
KEPULAUAN BANGKA BELITUNG,2024,Juli,UMKM,6927.967304702,281.725232515,118.857232048,90863
Lampung,2024,Juli,UMKM,32836.173131661,1297.730180046,617.523788115,579232
Jambi,2024,Juli,UMKM,25131.701955005,715.217199642,339.33645255,284184
Bengkulu,2024,Juli,UMKM,13425.625775287,347.758779028,143.694158033,200662
Sumatera Selatan,2024,Agustus,UMKM,39698.954903642,1626.570120447,630.222764692,655755
KEPULAUAN BANGKA BELITUNG,2024,Agustus,UMKM,7044.991877485,276.3931556,114.892783657,91806
Lampung,2024,Agustus,UMKM,32971.78101663,1422.662433152,677.954399471,575470
Jambi,2024,Agustus,UMKM,25328.941665146,716.43497855,333.711039796,285775
Bengkulu,2024,Agustus,UMKM,13491.474686453,340.865736165,137.9240904,199949
Sumatera Selatan,2024,September,UMKM,40284.140031701,1547.420157322,613.567096444,652921
KEPULAUAN BANGKA BELITUNG,2024,September,UMKM,7095.076006731,254.446700532,112.140405671,91880
Lampung,2024,September,UMKM,33479.569516397,1377.161261848,663.893454584,570788
Jambi,2024,September,UMKM,25933.516612464,727.087734819,339.478355165,287049
Bengkulu,2024,September,UMKM,13523.93421624,323.094742066,133.447503789,199053
Sumatera Selatan,2024,Oktober,UMKM,40555.247681973,1581.656134999,618.304550562,657093
KEPULAUAN BANGKA BELITUNG,2024,Oktober,UMKM,7136.381235142,259.402336765,103.019598597,92381
Lampung,2024,Oktober,UMKM,32653.343681746,1390.346996365,657.550204545,570206
Jambi,2024,Oktober,UMKM,26086.409181462,707.811671388,326.606823316,288538
Bengkulu,2024,Oktober,UMKM,13506.653142825,324.423227915,130.715493396,199246
Sumatera Selatan,2024,November,UMKM,40567.665022286,1596.398644119,617.085512761,658858
KEPULAUAN BANGKA BELITUNG,2024,November,UMKM,7007.310025592,257.369009989,100.006722536,92422
Lampung,2024,November,UMKM,32794.014627101,1355.789158496,615.224579142,570635
Jambi,2024,November,UMKM,26146.15622619,693.424580536,316.162470934,289738
Bengkulu,2024,November,UMKM,13526.429915421,316.073183167,125.719256526,199107
Sumatera Selatan,2024,Desember,UMKM,40159.243277904,1562.580352507,593.671687336,657976
KEPULAUAN BANGKA BELITUNG,2024,Desember,UMKM,6993.811274904,230.678832283,85.99428797,92248
Lampung,2024,Desember,UMKM,33152.740945298,1475.942926223,664.057955178,568786
Jambi,2024,Desember,UMKM,26212.424718844,624.741029842,275.672257757,290461
