Negara,Provinsi,Tahun,Bulan,Total Aset,Giro,Tabungan,Deposito,Total DPK ,Modal Kerja,Investasi,Konsumsi,Total Kredit,Nominal NPL Gross,Rasio NPL Gross,Nominal NPL Net,Rasio NPL Net,Loan to Deposit Rastio (LDR)
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,September,27745.504585963,4557.740868573,13112.255534081001,8681.649337519999,26351.64574,5467.141379743,2837.075703475,7901.13494658,16205.35203,564.637421932,0.0348426508,188.99878573299998,0.01166273867,0.6149654632
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,Oktober,28745.196544572,4917.518113921,13194.837160361,9078.342725138999,27190.698,5772.1548753980005,2886.3217518930005,7970.019614011,16628.49624,565.628903518,0.03401563769,186.591430682,0.01122118488,0.611550915
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,November,28767.023296799,5124.336988834,13271.19573239,8865.403731171,27260.93645,5821.847337942,2911.671246459,7966.656176888,16700.17476,554.609982725,0.03320983107,186.36759056,0.01115961918,0.6126045886
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,Desember,26982.084046257998,4484.941841157,13284.437297731,7615.09760219,25384.47674,5509.3491495,2991.681603904,8016.142204885,16517.17296,334.85151466700006,0.02027293142,164.333342808,0.009949241509,0.6506800643
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,Januari,26551.157428031,4358.352069078,12912.702131751,7700.573607177,24971.62781,5312.379999739,3045.647409022,9873.675917215,18231.70333,399.996520888,0.02193961331,190.254177593,0.01043534848,0.7300967108
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,Februari,25804.641830717002,4022.706787926,12518.115091343001,7529.865003819001,24070.68688,5086.594738654,3134.369755484,8141.525206431001,16362.4897,367.066178335,0.022433394,178.995267845,0.01093936627,0.6797682916
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,Maret,24880.446797763,3942.225511389,12537.046937207,7209.074103555001,23688.34655,4980.020726758,3182.017930377,8303.050646248,16465.0893,360.58133344,0.02189974963,150.808004641,0.009159258226,0.6950712776
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,April,24746.207133662,3876.126842995,12534.029267992999,7202.508687042,23612.6648,4938.989138854,3208.077402114,8324.874599043,16471.94114,377.299230409,0.0229055718,159.833189509,0.009703360894,0.6975892506
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,Mei ,25025.974992751002,3791.027032704,12458.043795245,7153.671069830001,23402.7419,4892.027084578,3310.7333843799997,8406.248267218,16609.00874,372.106426145,0.02240389129,149.664188983,0.009011024761,0.7097035385
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,Juni,25852.99832826,4102.136851139,12688.987723798999,6906.427106014,23697.55168,5121.809310507,3311.394572534,8460.06661191,16893.27049,357.87872723800007,0.0211846917,146.49271592899998,0.00867166106,0.7128698662
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,Juli,26227.504430492998,3989.600794777,12770.799713542001,7232.178173287,23992.57868,5253.778263166,3341.64837903,8567.976845514,17163.40349,394.004792516,0.02295609917,169.986845477,0.009904028976,0.7153630177
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,Agustus,25953.944419834,4250.573702679,12619.785473316,7470.355104716001,24340.71428,5810.949184648,3365.6777773040003,8622.377644313001,17799.00461,377.741839332,0.02122263844,154.808903451,0.008697615787,0.7312441369
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,September,26340.039270619,4478.007665241,12882.718356781,7526.112708905,24886.83873,5840.945386647,3373.568632911,8719.450827976,17933.96485,356.10591974299996,0.01985650818,152.706914723,0.008514955618,0.7206204469
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,Oktober,27259.026173134,4961.097158335,13191.764522218,7588.786613884,25741.64829,6002.567091139,3388.630596278,8865.928162691998,18257.12585,362.557813774,0.0198584277,143.314927399,0.007849807718,0.7092446312
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,November,27586.821173474,5369.405233294,13391.518238624998,7250.461180005,26011.38465,5804.9815278979995,3395.400874475,8937.092680992,18137.47508,366.29891517600004,0.02019569502,144.678649748,0.007976780069,0.6972898723
INDONESIA,KEPULAUAN BANGKA BELITUNG,2024,Desember,26730.799891294,4147.350969128,13585.00528597,7542.0311442639995,25274.3874,5756.676767682,3401.501699511,9030.48420365,18188.66267,340.651928196,0.01872880565,130.871670826,0.007195233272,0.719648013
INDONESIA,LAMPUNG,2023,Januari,79986.2178743,8344.763044899,33487.164554924,18441.522199801,60273.4498,34974.366439444,12173.318317722,28558.703280683003,75706.38804,3298.7049493320005,0.0435723462,745.664967398,0.009849432614,1.256048696
